,birthplace,date_of_birth,race_ethnicity,religion,religion:confidence,sexual_orientation,year_of_award,award,biourl,movie,person,movieID,movie_IMDB_Link
71,"Las Palmas De Gran Canaria, Canary Islands",1-Mar-69,Hispanic,Na,1.0,Straight,2008,Best Supporting Actor,http://www.nndb.com/people/733/000109406/,No Country for Old Men,Javier Bardem,tt0477348,https://www.imdb.com/title/tt0477348/
72,"London, England",30-Dec-06,White,Na,1.0,Straight,1969,Best Director,http://www.nndb.com/people/290/000064098/,Oliver!,Carol Reed,tt0063385,https://www.imdb.com/title/tt0063385/
73,"London, England",16-Feb-26,White,Na,1.0,Gay,1969,Best Director,http://www.nndb.com/people/771/000032675/,Midnight Cowboy,John Schlesinger,tt0064665,https://www.imdb.com/title/tt0064665/
74,"Tokyo, Japan",30-May-20,White,Na,1.0,Straight,1970,Best Director,http://www.nndb.com/people/509/000032413/,Patton,Franklin J. Schaffner,tt0066206,https://www.imdb.com/title/tt0066206/
75,"Chicago, Il",29-Aug-35,White,Jewish,1.0,Straight,1972,Best Director,http://www.nndb.com/people/112/000024040/,The French Connection,William Friedkin,tt0067116,https://www.imdb.com/title/tt0067116/
76,"San Bernardino, Ca",30-Jan-30,White,Na,1.0,Straight,1972,Best Actor,http://www.nndb.com/people/878/000022812/,The French Connection,Gene Hackman,tt0067116,https://www.imdb.com/title/tt0067116/
77,"Chicago, Il",23-Jun-27,White,Na,1.0,Straight,1973,Best Director,http://www.nndb.com/people/159/000032063/,Cabaret,Bob Fosse,tt0068327,https://www.imdb.com/title/tt0068327/
78,"Cleveland, Oh",11-Apr-32,White,Jewish,1.0,Gay,1973,Best Supporting Actor,http://www.nndb.com/people/853/000048709/,Cabaret,Joel Grey,tt0068327,https://www.imdb.com/title/tt0068327/
79,"Los Angeles, Ca",12-Mar-46,White,Na,1.0,Na,1973,Best Actress,http://www.nndb.com/people/724/000024652/,Cabaret,Liza Minnelli,tt0068327,https://www.imdb.com/title/tt0068327/
80,"Minneapolis, Mn",20-Dec-21,White,Na,1.0,Straight,1973,Best Director,http://www.nndb.com/people/783/000032687/,The Sting,George Roy Hill,tt0070735,https://www.imdb.com/title/tt0070735/
81,"Detroit, Mi",7-Apr-39,White,Na,1.0,Straight,1975,Best Director,http://www.nndb.com/people/866/000022800/,The Godfather Part II,Francis Ford Coppola,tt0071562,https://www.imdb.com/title/tt0071562/
82,New York City,17-Aug-43,White,Roman Catholic,1.0,Straight,1975,Best Supporting Actor,http://www.nndb.com/people/765/000023696/,The Godfather Part II,Robert De Niro,tt0071562,https://www.imdb.com/title/tt0071562/
83,"CÌÁslav, Czechoslovakia",18-Feb-32,White,Na,1.0,Straight,1976,Best Director,http://www.nndb.com/people/622/000023553/,One Flew over the Cuckoo's Nest,Milos Forman,tt0073486,https://www.imdb.com/title/tt0073486/
84,"Oak Park, Il",21-Dec-35,White,Na,1.0,Straight,1976,Best Director,http://www.nndb.com/people/679/000032583/,Rocky,John G. Avildsen,tt0073629,https://www.imdb.com/title/tt0073629/
85,"Brooklyn, Ny",1-Dec-35,White,Jewish,1.0,Straight,1978,Best Director,http://www.nndb.com/people/501/000022435/,Annie Hall,Woody Allen,tt0075686,https://www.imdb.com/title/tt0075686/
